Block,BlockHa
L041,29.79
L045,57.09
L047,46.82
L051,22.1
L052,26.77
L067,60.96
L068,76.16
L106,35.83
R031,18.82
R032,10.19
L131,40.44
L135,54.01
L148A,21.55
L27,28.81
L34,30.72
L60,38.13
L76,28.07
L78,23.14
T004A,1.89
L83,9.18
LC109D,29.48
LS003,18.74
LS008A,31.23
LS017,23.61
LS024,39.12
RP013,49.14
LS032,26.16
LS033,26.33
LS044,24.86
LS069A,20.67
LS080,40.76
LS089,9.78
LS090,11.31
LS093,29.23
LS094,44.24
LS100,0.46
LS103,20.71
M000,22.51
M020,12.91
M055,31.28
M056,20.26
R068,82.77
M063,19.2
M11,25.16
M27,6.63
M41,11.25
M43,35.74
MK005,40.06
MK007,31.69
MK008,3.8
MK011,31.89
RP032,17.87
MK021,20.09
MK022,47.61
MK024,30.06
MK028,14.1
MK053,56.13
MK054A,19.59
MK058,24.33
MK061,43.11
MK069,11.35
MK074,10.66
MK081,18.1
MK902,21.91
T148,5.05
N143-Red,25.32
N31,51.72
N33,42.67
N84,92.62
N90,30.43
N91,22.87
N92,45.61
N95,19.42
N96,20.24
NN12,37.49
NN7,21.37
NT009A,43.94
NT012,21.16
NT018,34.45
NT027B,34.37
NT030,14.07
NT033,54.85
NT041,3.72
NT050,7.83
NT054,49.79
NT055,47.48
NT057,47.27
NT065B,18.64
NT067,10.19
NT067A,2.92
NT070,24.07
NT091,28.31
NT115,20.34
NT116,18.42
NT116A,19.24
O084,4.22
O112,9.06
O162A,3.16
O166,38.31
O168,18.88
O173,6.09
O179,6.85
RP028,31.83
O418,1.54
O438,29.75
O441,14.64
O463,59.07
O473,7.99
O476,14.91
O511,5.13
O511A,25.63
O513,29.26
O520,23.61
O533,22.22
O563,27.32
RP034,12.24
O564,7.76
P028,11.71
P060,19.84
RP039,91.53
T009,31.45
P089,40.29
P094,3.22
P109,15.02
P112A,3.64
P114,33.24
P118,18.27
P123,14.31
P158,3.52
P159,3.28
P165,32.16
PB015,20.76
PB016,15.15
T331C,22.91
PB037,7.35
PB051,28.41
PB060,43.49
PB062A,33.65
Q057,13.04
Q077,7.27
R38,23.88
R38A,4.28
RP005,29.3
S025,18.2
S027,21.28
S038B,9.01
S042,5.87
S044,3.76
S047,4.78
S056A,8.62
S056B,18.3
S063,43.28
SD002,8.82
SD002A,7.06
RP014,63.49
SD004,34.85
R035,9.43
SD005,49.72
SD005A,43.16
SD006,18.73
T171,31.29
SD010,14.57
SD025,12.68
SD027,37.57
R028,14.31
T086,16.28
SL1673A-04,18.1
R033,17.53
SMU,Area
T173,21.39
T169,22.59
SNR400Burn,8.3
SNR700Burn,2.52
U011A,1.02
U124,8.26
U124B,49.55
W1,11.39
W10A,27.12
W2,38.8
